,Job title,job Description,Wilaya,Link
23,Femme de ménage,Urgent entreprise de nettoyage cherche femme de ménage à dar el beida l'aéroport de 08h à 16h,Dar el beida,https://www.ouedkniss.com/emploi_offresfemme-de-ménage-alger-dar-el-beida-algerie-offres-d-emploi-d23990671?utm_medium=listing
24,Operateur de chaine de montage,"ورشة متخصصة فى مجال الإلكترونيات ببرج الكيفان توفر مناصب شغل للإناث بدوام كامل.
المؤهلات المطلوبة:
- مستوى تعليمي لا يقل عن الثانوي (تخصص علمي أو تقني).
- العمر لا يت",Bordj el kiffan,https://www.ouedkniss.com/emploi_offresoperateur-de-chaine-montage-alger-bordj-el-kiffan-algerie-offres-d-emploi-d23990602?utm_medium=listing
25,reponsable depot,Reception et entreposage de marchandise .avec gestion de stock,Draria,https://www.ouedkniss.com/emploi_offresreponsable-depot-alger-draria-algerie-offres-d-emploi-d23990379?utm_medium=listing
26,N\A,N\A,N\A,https://www.ouedkniss.com/emploi_offresN\A
27,Educatrice spécialisée  enfant autiste,"Le cabinet d'orthophonie mme belkhodja.a cherche une éducatrice spécialisée pour enfants autistes et trisomiques habitant rouiba et environs (el hamiz, aintaya, hraoua,reghaia,.) à plein temps, nous contacter au numéro du cabinet  ,envoyer votre cv  à notre adresse email. ",Rouiba,https://www.ouedkniss.com/emploi_offreseducatrice-spécialisée-enfant-autiste-alger-rouiba-algerie-offres-d-emploi-d23990332?utm_medium=listing
28,Secrétaire ,,Alger centre,https://www.ouedkniss.com/emploi_offressecrétaire-alger-centre-algerie-offres-d-emploi-d23990265?utm_medium=listing
29,Vendeuse ,"Je cherche une vendeuse respectueuse , ponctuelle pour un magasin de pyjama femme . 
les heures : de samedi à jeudi 
de : 9h a 18h",Birkhadem,https://www.ouedkniss.com/emploi_offresvendeuse-alger-birkhadem-algerie-offres-d-emploi-d23990230?utm_medium=listing
30,animateur adjoint,,Sidi amar - 23,https://www.ouedkniss.com/emploi_offresanimateur-adjoint-annaba-sidi-amar-algerie-offres-d-emploi-d23990154?utm_medium=listing
31,Vendeuse ,"Nous cherchons une vendeuse dans un magasin de vêtements .
le magasin juste kima areej draria 
travail de 10h a 18h 
pour plus d'informations appelle moi .
envoyer moi vous cv sur viber. ",Draria,https://www.ouedkniss.com/emploi_offresvendeuse-alger-draria-algerie-offres-d-emploi-d23990149?utm_medium=listing
32,خياطة او فينيسوز,"حي: بن مراد  قرب محطة الطرامواي
خياطة: بدلات رياضية ( سروال وفيسثة)
الوضيفة:
                ● خياطة
               ●فينيسوز (سورجي و لافينيسيو)
",Bordj el kiffan,https://www.ouedkniss.com/emploi_offresخياطة-او-فينيسوز-alger-bordj-el-kiffan-algerie-offres-d-emploi-d19428087?utm_medium=listing
33,animateur adjoint,,Amarnas - 22,https://www.ouedkniss.com/emploi_offresanimateur-adjoint-sidi-bel-abbes-amarnas-algerie-offres-d-emploi-d23990125?utm_medium=listing
34,animateur adjoint,,Gdyel - 31,https://www.ouedkniss.com/emploi_offresanimateur-adjoint-oran-gdyel-algerie-offres-d-emploi-d23990110?utm_medium=listing
35,Assistante Administrative,Nous recherchons une assistante administrative qui maîtrise parfaitement l'outil informatique et parle couramment le français et l'anglais,Constantine - 25,https://www.ouedkniss.com/emploi_offresassistante-administrative-constantine-algerie-offres-d-emploi-d23990097?utm_medium=listing
36,animateur adjoint,,Mansourah - 13,https://www.ouedkniss.com/emploi_offresanimateur-adjoint-tlemcen-mansourah-algerie-offres-d-emploi-d23990090?utm_medium=listing
37,Formateur,"Reva group cherche à recruter un formateur dans le domaine marketing digital qui peut assurer pour nos condidat  les objectifs suivantes:
- comprendre les bases du marketing digital.
- faire comprendre la difference entre marketing digital et le marketing traditionnel 
- comment concevoir un sit",Bordj el bahri,https://www.ouedkniss.com/emploi_offresformateur-alger-bordj-el-bahri-algerie-offres-d-emploi-d23990061?utm_medium=listing
38,femme de ménage,,Souidania,https://www.ouedkniss.com/emploi_offresfemme-de-ménage-alger-souidania-algerie-offres-d-emploi-d23990037?utm_medium=listing
39,aide cuisinier ,"Restaurant l'espadon situé a bab-ezzouar spécialisé dans le poisson cherche aide cuisinier avec expérience 
pour les gens intéressés (ées) veuillez envoyer votre cv",Bab ezzouar,https://www.ouedkniss.com/emploi_offresaide-cuisinier-alger-bab-ezzouar-algerie-offres-d-emploi-d23989870?utm_medium=listing
40,secretaire assistante receptioniste,"Micro  entreprise recrute une  secrétaire assistante réceptionniste .
profile : sens aigue de communication , ponctuelle , organisée.
               maitrise  utile informatique.
pour toutes personne interesseés , veuillez nous envoyer vos cv a cette adresse email :
   arcenciel2046@gmail.co",Bejaia - 6,https://www.ouedkniss.com/emploi_offressecretaire-assistante-receptioniste-bejaia-algerie-offres-d-emploi-d23989822?utm_medium=listing
41,عامل او شريك,ابحث عن عامل او شريك في محل لصنع المأكولات الهومبورقر و الشوارما و الطاكوس انلك مع في مكان جيد بسيدي مزغيش ولاية سكيكدة,Sidi mezghiche - 21,https://www.ouedkniss.com/emploi_offresعامل-او-شريك-skikda-sidi-mezghiche-algerie-offres-d-emploi-d23989820?utm_medium=listing
42,انجاز مشىروع,مؤسسة انجاز مشاريع البناء تقترح عليكم خدماتها لانجاز مشاريعكم وفقط نمط عصري بكل المقايس والجودة جميع اشغال البناء في كل المراحل,Chlef - 2,https://www.ouedkniss.com/emploi_offresانجاز-مشىروع-chlef-algerie-offres-d-emploi-d23989722?utm_medium=listing
43,secretaire ,"Demande d’emploi :

domaine : bureautique et secrétariat.

employeur : bureau d’affaire.

poste : secrétaire.

niveau d'éducation : bac+

permis de conduire obligatoire (avec une bonne conduite.)

bonjour, je cherche une secrétaire ponctuelle et ambitieuse avec un bon niveau",Bab ezzouar,https://www.ouedkniss.com/emploi_offressecretaire-alger-bab-ezzouar-algerie-offres-d-emploi-d23879966?utm_medium=listing
44,مهندس معماري, اضع بين ايديكم دبلوم مهندس معماري للكراء للمقاولين و مكاتب الدراسات,Kouba,https://www.ouedkniss.com/emploi_offresمهندس-معماري-alger-kouba-algerie-offres-d-emploi-d23672604?utm_medium=listing
45,gerante,Société prive cherche gérante  d un magasin agée minumun 35 ans et plus résidante environ de kouba travail mi temps salaire tres motivant ,Kouba,https://www.ouedkniss.com/emploi_offresgerante-alger-kouba-algerie-offres-d-emploi-d23521003?utm_medium=listing
46,Livreur,"Magasin de gâteau traditionnel et moderne situé à la nouvelle ville de tizi ouzou cherche un livreur vendeur 
mission de poste 
 prospecter des nouveaux clients ( cafétéria, supérette,.)
 Évoluer les commandes clients
conditions:
 bonne connaissance du secteur
 vehiculé(e).
 bon sen",Tizi ouzou - 15,https://www.ouedkniss.com/emploi_offreslivreur-tizi-ouzou-algerie-offres-d-emploi-d23989341?utm_medium=listing
47,Apprenti en patisserie,La patisserie l'aquarium à vieux kouba cherche un (e) apprenti (e) en patisserie.,Kouba,https://www.ouedkniss.com/emploi_offresapprenti-en-patisserie-alger-kouba-algerie-offres-d-emploi-d23989318?utm_medium=listing
48,Se retair ocs,Cherche femme secretair niveaux moyen connaisence francais pour classement de documente a mon domicile c un travaille de deux jour aproximiter envoyez viber ou watsup pour plus de detàille ou numero je vous appele merci,Dar el beida,https://www.ouedkniss.com/emploi_offresse-retair-ocs-alger-dar-el-beida-algerie-offres-d-emploi-d23989215?utm_medium=listing
49,Commercial,,Oran - 31,https://www.ouedkniss.com/emploi_offrescommercial-oran-algerie-offres-d-emploi-d23989212?utm_medium=listing
50,Vendeuse,Cherche vendeuse nouvelle boutique femme ,Les eucalyptus,https://www.ouedkniss.com/emploi_offresvendeuse-alger-les-eucalyptus-algerie-offres-d-emploi-d23989172?utm_medium=listing
51,Professeurs de cours de soutien ,"Vtl center  معهد التكوين اللغوي والمهني
نبحث عن مدرسين في كل المواد للدروس الخصوصية مع الخبرة في إعطاء الدروس الخصوصية لمجموعة من التلاميذ أو الخاص 
:الأفضلية للأساتذة ",Tlemcen - 13,https://www.ouedkniss.com/emploi_offresprofesseurs-de-cours-soutien-tlemcen-algerie-offres-d-emploi-d23816603?utm_medium=listing
52,conducteur de travaux / Assistante ,"
",Oran - 31,https://www.ouedkniss.com/emploi_offresconducteur-de-travaux-assistante-oran-algerie-offres-d-emploi-d23988979?utm_medium=listing
53,UN COMERCIAL ET D'ADMINISTRATIF,"Je  cherche un ou une commercial(e) pour un poste de travail sis à ouled chebel birtouta
de préférence les personnes  doivent habités aux enivrant de birtouta, ouled chebel et chebli. ",Ouled chebel,https://www.ouedkniss.com/emploi_offresun-comercial-et-d-administratif-alger-ouled-chebel-algerie-offres-emploi-d23988933?utm_medium=listing
54,Distributeur," 
nous somme une entreprise de conserverie et huile d'olive a la recherche des depositaire sur le territoire nationnal conditions :
_camions de distrbution.
_depot de stockage.
_assiete financiere.

un systeme de motivation pour les depositaires

veuillez nous contacte",Blida - 9,https://www.ouedkniss.com/emploi_offresdistributeur-blida-tizi-ouzou-draa-ben-khedda-laghouat-hassi-rmel-algerie-offres-d-emploi-d23954952?utm_medium=listing
55,"Menuisier, 1/2ouvrier  Aluminium","Cherche menuisier aluminium et demi-ouvriers confirmés ou débutants salariés sur alger et blida avec hebergement. connaissances en aluminium, travail à l'extérieur sur nacelles. ",Cheraga,https://www.ouedkniss.com/emploi_offresmenuisier-1-2ouvrier-aluminium-alger-cheraga-algerie-offres-d-emploi-d21169355?utm_medium=listing
56,Soin à domicile,,Bou ismail - 42,https://www.ouedkniss.com/emploi_offressoin-à-domicile-tipaza-bou-ismail-algerie-offres-d-emploi-d23988770?utm_medium=listing
57,Montage fumé ,Magasin à kouba cherche employés montage fumé ,Kouba,https://www.ouedkniss.com/emploi_offresmontage-fumé-alger-kouba-algerie-offres-d-emploi-d23722789?utm_medium=listing
58,Commercial ,,Mohammadia,https://www.ouedkniss.com/emploi_offrescommercial-alger-mohammadia-algerie-offres-d-emploi-d23988682?utm_medium=listing
59,secrétaire,مرحبا نحن مكتب توظيف مقر في دبي لايوجد لدينا فرع في الجزائر نوفر عقد عمل ثلاث سنوات في دبي في جميع المجالات مع سكن اقامة تامين تذكرة سفر ارجو اتصل بنا من اجل معرفة تفا,Emirats Arabes Unis,https://www.ouedkniss.com/emploi_offressecrétaire-etranger-emirats-arabes-unis-algerie-offres-d-emploi-d23988659?utm_medium=listing
60,laveur auto,"Cherche khadam serieux , yeskoun f wahran 9rib l canastel ,makech mbata ",Bir el djir - 31,https://www.ouedkniss.com/emploi_offreslaveur-auto-oran-bir-el-djir-algerie-offres-d-emploi-d23961117?utm_medium=listing
61,Agent de bureau,"Bonjour nous cherchons une femme pour tenir les tâches de la secrétariat, qualifié en bureautique ayant un permis de conduire depuis au-moins cinq ans",Hammedi - 35,https://www.ouedkniss.com/emploi_offresagent-de-bureau-boumerdes-hammedi-algerie-offres-d-emploi-d23988614?utm_medium=listing
62,Femme de ménage ,Je cherche une femme de ménage pour travailler dans un restaurant a tipaza .,Tipaza - 42,https://www.ouedkniss.com/emploi_offresfemme-de-ménage-tipaza-algerie-offres-d-emploi-d23988605?utm_medium=listing
63,Agent polyvalent,"Assure le nettoyage , l'amenénagement  et l'entretient .",Bir mourad rais,https://www.ouedkniss.com/emploi_offresagent-polyvalent-alger-bir-mourad-rais-algerie-offres-d-emploi-d23988571?utm_medium=listing
64,Comptable de formation,"Assure le suivi administratif, rassemblement et vérification des données comptables , etablissement des opérations de cloture et les documents réglementaires .",Bir mourad rais,https://www.ouedkniss.com/emploi_offrescomptable-de-formation-alger-bir-mourad-rais-algerie-offres-d-emploi-d23988522?utm_medium=listing
65,vendeur qualifié ,"Pharmacie a alger centre cherche  vendeur qualifié j insiste ayant de l expérience 
contactez moi par mail   alfethe@yahoo.fr",Alger centre,https://www.ouedkniss.com/emploi_offresvendeur-qualifié-alger-centre-algerie-offres-d-emploi-d23988456?utm_medium=listing
66,Polyvalente femme ,Contacter nous par téléphone ou message ou viber ,Hydra,https://www.ouedkniss.com/emploi_offrespolyvalente-femme-alger-hydra-algerie-offres-d-emploi-d23988427?utm_medium=listing
67,Polyvalente esthéticienne ,Polyvalente ,Hydra,https://www.ouedkniss.com/emploi_offrespolyvalente-esthéticienne-alger-hydra-algerie-offres-d-emploi-d23988376?utm_medium=listing
68,محاجبي,"سلام عليكم 
محل جديد في باب الواد يبحث عن شخص يحضر المحاجب و الكسرة ",Bab el oued,https://www.ouedkniss.com/emploi_offresمحاجبي-alger-bab-el-oued-algerie-offres-d-emploi-d23988148?utm_medium=listing
69,Couturiere ,Un atelier de confection pour un magasin ( spécialités abaya ) cherche couturiere qualifié rapide qui maitrise la sourgeteuse aussi ( ta3raf tmachi la droite w sourget )    les environs de ainbeniane ( la foret ) القرية  ( manmadoch khedma l dar ,Ain benian,https://www.ouedkniss.com/emploi_offrescouturiere-alger-ain-benian-algerie-offres-d-emploi-d23988108?utm_medium=listing
70,marketing digital,"Valigo entreprise situé au niveau de chehairia, bethioua- oran, recrute un agent marketing digital (developpement site web, compte facebook, youtube et autres réseaux sociaux.). une expérience dans le domaine est demandé. ",Bethioua - 31,https://www.ouedkniss.com/emploi_offresmarketing-digital-oran-bethioua-algerie-offres-d-emploi-d23988099?utm_medium=listing
71,Community manager,On cherche après  un community manager. veuillez nous envoyer votre candidature à  l'adresse suivante: studiovip1.recrutement@gmail.com ,Alger centre,https://www.ouedkniss.com/emploi_offrescommunity-manager-alger-centre-algerie-offres-d-emploi-d23988038?utm_medium=listing
72,Vendeuse ,"Magasin jouet cherche vendeuse;
- ponctuelle ( 09h - 17h ) tout les jours sauf vendredi
- sérieux
- souriant et présentable
- expérimenté dans le domaine de la vente et marketing
- maîtrise du français.
",Ouled fayet,https://www.ouedkniss.com/emploi_offresvendeuse-alger-ouled-fayet-algerie-offres-d-emploi-d23988035?utm_medium=listing
73,Technicien ,,Tlemcen - 13,https://www.ouedkniss.com/emploi_offrestechnicien-tlemcen-algerie-offres-d-emploi-d23988034?utm_medium=listing
74,FORMATION,لمن يريد الالتحاق بعالم الشغل و في وقت قصيرنقدم لكم فرصة حياتكم نقدم لكم خدمتنا المتمثلة في تعليم كل ما يخص عالم السياحة نعلمكم كيفية حجز و بيع تداكر الطيران ماهي ال,Mohammadia,https://www.ouedkniss.com/emploi_offresformation-alger-mohammadia-algerie-offres-d-emploi-d17653356?utm_medium=listing
75,comptable,Valigo recrute un agent de comptabilité et ressources humaines avec une expérience dans le domaine. de préférence habitant dans les environs d'arzew. veuillez envoyer vos cv par email. ,Bethioua - 31,https://www.ouedkniss.com/emploi_offrescomptable-oran-bethioua-algerie-offres-d-emploi-d23988012?utm_medium=listing
76,FINISSEUSE ,"Société  cherche des femmes pour la finition /emballage

age ; 20ans-40ans
habite : aproximité d'oran
salaire : 20000

horaire de travail : 8h00-17h00
restauration  gratuit

",Oran - 31,https://www.ouedkniss.com/emploi_offresfinisseuse-oran-algerie-offres-d-emploi-d23717158?utm_medium=listing
77,Agents Polyvalents,"Le centre d'affaires algéro-canadien situé a oran recherche pour les besoins des chantiers canadiens de son partenaire (la canada global business solution & immigration   des professionnels : 

                                - chauffeur de poid lourd 
          ",Oran - 31,https://www.ouedkniss.com/emploi_offresagents-polyvalents-oran-algerie-offres-d-emploi-d19057777?utm_medium=listing
78,مدير مؤسسة,خبرة سنتيين فاكثر,Chettia - 2,https://www.ouedkniss.com/emploi_offresمدير-مؤسسة-chlef-chettia-algerie-offres-d-emploi-d23987943?utm_medium=listing
79,Enseignant langue espagnol," 

nous sommes localisé à reghaia centre ville, devant la mosquée el feth",Reghaia,https://www.ouedkniss.com/emploi_offresenseignant-langue-espagnol-alger-reghaia-algerie-offres-d-emploi-d23972789?utm_medium=listing
80,électricien,,Tizi ouzou - 15,https://www.ouedkniss.com/emploi_offresélectricien-tizi-ouzou-algerie-offres-d-emploi-d23987869?utm_medium=listing
81,Cours d'anglais particuliers,"Nous cherchons un prof pour donner des cours d'anglais particuliers pour les besoins professionnels .
forte expérience dans la communication quotidienne et commercial
possibilité de travailler hors horaires de travail (17h à 19h)
merci d’envoyer votre cv a : rh@maghrebmedia.dz",Bejaia - 6,https://www.ouedkniss.com/emploi_offrescours-d-anglais-particuliers-bejaia-algerie-offres-emploi-d23987747?utm_medium=listing
82,stagiaire  ,"Formation  dans la pratiqué grade agent commercial  charge des affaires commerciales et gestion des entreprises  avec secteur etats , le programme: facture , proformat, devis avec condition commercial,bon de commande, livraison, réparations,créance ,encaissement,dépense , relevé de compte, s",Tizi ouzou - 15,https://www.ouedkniss.com/emploi_offresstagiaire-tizi-ouzou-algerie-offres-d-emploi-d23182354?utm_medium=listing
83,MECANICIEN ,"Société eurl strfp ouvre un recrutement pour des profils dynamiques positifs et actifs, temps complet , un travail sérieux 
mécanicien auto ",Bordj el kiffan,https://www.ouedkniss.com/emploi_offresmecanicien-alger-bordj-el-kiffan-bab-ezzouar-algerie-offres-d-emploi-d23987717?utm_medium=listing
84,Assistante de bureau,,Oran - 31,https://www.ouedkniss.com/emploi_offresassistante-de-bureau-oran-algerie-offres-d-emploi-d23987691?utm_medium=listing
85,Coifeur,,Hammedi - 35,https://www.ouedkniss.com/emploi_offrescoifeur-boumerdes-hammedi-algerie-offres-d-emploi-d23987675?utm_medium=listing
86,commerciale ,"La  filiale rjc du groupe dm international a la recherche  de 4 filles commerciaux  accueilles  pour nos show room de cheraga

nos exigences 
de preference dans les environs 
sens de communication good
good présentations
la tenue classique est exigee 
sérieux ponctualité
depot de cv au ni",Cheraga,https://www.ouedkniss.com/emploi_offrescommerciale-alger-cheraga-algerie-offres-d-emploi-d23958471?utm_medium=listing
87,N\A,N\A,N\A,https://www.ouedkniss.com/emploi_offresN\A
88,Pharmacien Specialiste,"Bonjour 
on est a la recherche d'un pharmacien biologiste ou bien médecin biologiste pour ouvrir un laboratoire d'analyse médicales 
nous étudions toutes propositions",Constantine - 25,https://www.ouedkniss.com/emploi_offrespharmacien-specialiste-constantine-algerie-offres-d-emploi-d23958977?utm_medium=listing
89,Networkeur,"لكل من يريد تغيير وضعه المالي 
لكل من يريد الخروج من روتين العمل الوظيفي 
هذا هو الوقت المناسب لتبدأ مشروعك الخاص بأقل الامكانيات 
بمميزات أفضل:
رأس مال صغير مقارنة",Bejaia - 6,https://www.ouedkniss.com/emploi_offresnetworkeur-bejaia-algerie-offres-d-emploi-d23409268?utm_medium=listing
90,Vendeur ( soir ),"Pharmacie situé a baba hassen (aadl ) cherche vendeur pour horaires du soir habitant à proximité ou véhiculée .
expérience exigée , maitrise de la vente au comptoir, cnas , casnos , camssp
sens de la responsabilité , sérieux et ponctuel .

envoyer cv + photo par mail :
",Baba hassen,https://www.ouedkniss.com/emploi_offresvendeur-soir-alger-baba-hassen-algerie-offres-d-emploi-d23608886?utm_medium=listing
91,مدرب,"النادي الرياضي  يبحث عن مدربين في cmb
الجيدو
المصارعة
الملاكمة
الكونغ فو ووشو  / اساليب
التيكواندو
الايربيك
شروط التوظيف
شهادة مربي رياضي 
الرتبة حزام أسود درجة أ",Birkhadem,https://www.ouedkniss.com/emploi_offresمدرب-alger-birkhadem-algerie-offres-d-emploi-d22308530?utm_medium=listing
92,سكرتيرة,"
شركة آفاق الشرق 

تفتح الترشح لي مناصب العمل 

1 منصب سكرتيرة

2 مضيفة استقبال 

تسير كل الامور الادارية للشركة 

استقبال المكالمات الهاتفية و البريد الإلكترون",Ouled fayet,https://www.ouedkniss.com/emploi_offresسكرتيرة-alger-ouled-fayet-algerie-offres-d-emploi-d23958006?utm_medium=listing
93,Recrutement ,Vous êtes étudiants retraitées salarié s femme au foyer cette entreprise cherche un emploi du temps partiel ce travail et pour vous contacter moi et soyer les bienvenus  ,Alger centre,https://www.ouedkniss.com/emploi_offresrecrutement-alger-centre-tipaza-bou-ismail-boumerdes-chlef-oum-el-bouaghi-bejaia-bouira-algerie-offres-d-emploi-d22579385?utm_medium=listing
94,Recrutement,"Une société recrute dans le domaine de santé et de bien-être .
et cherche des employés qui possèdent ces compétences :
-bon sens de l'écoute et de la communication
-temps partiel ou complet
-actif
-responsable
envoyer moi vos cv",Ain benian,https://www.ouedkniss.com/emploi_offresrecrutement-alger-ain-benian-taya-centre-bab-el-oued-dely-brahim-mohammadia-harrach-bir-mourad-rais-staoueli-cheraga-algerie-offres-d-emploi-d21970154?utm_medium=listing
95,offre de service,"Nos services

 permis de construire _ plan _ décor
  etude et suivis
  rendus
  dessiner les plans (sous traitance)
  etude volumetrique
  modélisation en 3d",Birtouta,https://www.ouedkniss.com/emploi_offresoffre-de-service-alger-birtouta-draria-douera-birkhadem-blida-chebli-boufarik-saoula-el-achour-algerie-offres-d-emploi-d19402088?utm_medium=listing
96,Assistante ,"Cherche. une assistante. de direction  ageé. de plus. de 40 ans   d'alger  



",El achour,https://www.ouedkniss.com/emploi_offresassistante-alger-el-achour-algerie-offres-d-emploi-d23987435?utm_medium=listing
97,مساعد موثق,موثقة باب الزوار تبحث عن مساعد موثق لديه خبرة في المجال.,Bab ezzouar,https://www.ouedkniss.com/emploi_offresمساعد-موثق-alger-bab-ezzouar-algerie-offres-d-emploi-d23987427?utm_medium=listing
98,Apprenti menuisier ,"Aide menuisier 
مساعد نجار",Saoula,https://www.ouedkniss.com/emploi_offresapprenti-menuisier-alger-saoula-algerie-offres-d-emploi-d23959277?utm_medium=listing
